College,Year,Marks
"Veermata Jijabai Technological Institute (VJTI), Mumbai",2023,99
"DY Patil Technical Campus - Talegaon, Pune",2023,98
M S Ramaiah Polytechnic,2023,97
Acharya Institute Of Technology,2023,96
East West Institute Of Technology,2023,95
Kammavari Sangham Institute Of Technology.,2023,94
Vet College,2023,93
Vemana Institute Of Technology,2023,93
" Institute of Chemical Technology, Mumbai",2023,98
 St Xaviers Technical Institute,2023,96
WCE Sangli,2023,92
"G. H. Raisoni College of Engineering and Management, Ahmednagar",2023,87
Shri Chhatrapati Shivaji Shikshan Sanstha's Indira Gandhi Poly. Belwandi ,2023,86
"Sanjivani Rural Education Society's K.B.P. Polytechnic, Kopargaon",2023,95
"Amrutvahini Sheti & Shikshan Sanstha's Amrutvahini Polytechnic,Amrutnaga",2023,90
"Sanjivani Pratishthan's Institute Of Technology,Kurund",2023,85
